y_i,y_s
16.909639,5.105517
16.526284,10.978492
15.456611,4.938215
10.790547,8.355658
10.164494,7.881819
8.130459,4.622924
6.302346,5.764087
4.37573,10.557021
4.100476,4.75205
3.913543,4.74429
3.754683,2.563346
3.752579,3.947659
3.673856,3.501912
3.583277,3.430709
3.490143,5.278938
3.225286,4.043785
3.205356,4.025047
3.185168,4.90622
3.149609,4.268246
2.972956,4.09759
2.858995,3.473029
2.764602,4.28727
2.645952,4.035698
2.577422,2.731757
2.555072,3.581196
2.47311,2.209625
2.456538,4.357901
2.437542,2.734595
2.415796,2.198833
2.408235,3.095638
2.408235,3.193236
2.408235,2.945231
2.398165,3.115263
2.398165,3.111584
2.398165,3.166412
2.386685,3.918144
2.386685,3.565317
2.380102,2.675047
2.36795,2.960749
2.36795,3.443989
2.36795,3.020963
2.36795,3.890026
2.36795,2.991295
2.36795,3.668839
2.36795,3.057868
2.36795,2.967184
2.357877,3.001118
2.357877,3.08412
2.357877,3.11195
2.357877,3.164908
2.357877,3.035099
2.347803,3.613019
2.337728,3.060507
2.337728,3.443009
2.337728,3.080941
2.337728,3.025797
2.316151,2.817208
2.316151,3.098236
2.316151,3.680617
2.306071,3.047211
2.306071,2.922102
2.306071,2.910444
2.306071,2.990514
2.295991,2.771248
2.295991,3.329044
2.295991,2.931638
2.295991,3.24856
2.277263,2.896897
2.277263,2.839626
2.277263,2.878616
2.267183,2.989493
2.267183,2.885722
2.267183,3.261393
2.267183,2.962392
2.267183,2.950415
2.257101,2.659032
2.257101,3.366021
2.257101,2.881603
2.257101,4.369029
2.257101,3.785873
2.257101,3.25932
2.257101,2.847805
2.257101,2.910274
2.255659,2.821106
2.251833,2.939488
2.245574,2.788941
2.245574,3.537656
2.245574,4.06152
2.245574,3.621976
2.245574,4.024448
2.245574,3.307376
2.245574,3.623196
2.245574,3.039544
2.235488,2.824329
2.235488,2.797737
2.235488,2.85269
2.225401,2.86057
2.225401,3.039267
2.215313,2.777215
2.205224,3.418167
2.205224,3.149
2.205224,2.762016
2.188044,2.810477
2.186505,2.707825
2.186505,2.71072
2.176416,2.63551
2.176416,2.818907
2.176416,2.904569
2.176416,3.274293
2.176416,2.863798
2.176416,2.597489
2.176416,2.624003
2.176416,2.616672
2.172741,1.892905
2.166326,2.688641
2.166326,2.715005
2.166326,2.733812
2.159021,2.890591
2.156235,2.729534
2.156235,2.755487
2.156235,2.672884
2.156235,2.642478
2.156235,3.299277
2.146142,2.517458
2.146142,2.915156
2.146142,2.512219
2.146142,2.865512
2.146142,2.567754
2.146142,2.695095
2.136049,2.856562
2.136049,2.645382
2.136049,4.81503
2.136049,2.688636
2.136049,2.966838
2.127426,2.828983
2.127426,2.467124
2.117334,2.610919
2.115882,2.404612
2.10724,3.32781
2.10724,2.554941
2.10724,2.747597
2.10724,2.57717
2.10724,2.829218
2.10724,2.615676
2.10724,2.555289
2.088525,2.332554
2.078431,2.532937
2.078431,2.534327
2.078431,2.572029
2.078431,2.734371
2.068336,2.520699
2.068336,4.204725
2.068336,2.647398
2.05824,2.334017
2.05824,2.493167
2.05824,2.460935
2.05824,2.814589
2.05824,4.444746
2.05824,2.510166
2.05824,2.486898
2.05824,2.508772
2.048478,5.120696
2.044187,1.887354
2.039527,2.438954
2.039527,2.414406
2.039527,3.070094
2.039527,2.637089
2.039527,2.462895
2.039527,2.434537
2.029431,2.913062
2.029431,2.40624
