planets,set distances
TRAPPIST-1 d,0.062154069465230805
TRAPPIST-1 h,0.0069389179554392244
TRAPPIST-1 c,0.010597903947485197
TRAPPIST-1 g,0.07656108536852782
TRAPPIST-1 e,0.024799483325859857
TRAPPIST-1 b,0.08014415450550386
TRAPPIST-1 f,0.04478583271464032
Kepler-110 b,0.37941145306970386
Kepler-213 b,0.20913376696679903
Kepler-166 c,0.28227882731430026
Kepler-130 b,0.33081674285328533
Kepler-174 d,0.46049540890740304
Kepler-366 b,0.3420460437426667
Kepler-132 d,0.11471834276562366
Kepler-82 d,0.4404514770944414
Kepler-216 b,0.3045569448446407
HD 134606 b,0.12473975585024524
Kepler-183 b,0.12870110392642123
Kepler-218 b,0.7821561736021575
Kepler-181 b,0.7775454705796488
Kepler-294 b,0.21928645399610253
Kepler-372 d,0.22189781886133578
Kepler-157 b,0.33512801280696897
Kepler-122 d,0.08015004398407935
Kepler-132 b,0.7298665376069899
Kepler-256 c,0.2885214880956871
Kepler-226 c,0.23233861559016816
Kepler-279 c,0.3768658015590599
Kepler-198 c,0.06662247179565782
HD 215152 b,0.38144966426632887
Kepler-140 b,0.02075505874510002
Kepler-122 b,0.4830443517340948
Kepler-165 c,0.09151572837039276
Kepler-319 d,0.21628047270309744
Kepler-379 b,0.16631571869253867
Kepler-223 e,0.053530994390819674
Kepler-21 b,0.5566895786692247
Kepler-55 f,0.055917223153221694
Kepler-62 d,0.11071131382496993
Kepler-36 b,0.4167701085331707
Kepler-211 b,0.3361734621985844
Kepler-126 b,0.41465604635742276
Kepler-93 b,0.5019239284567271
Kepler-303 c,0.07837268645054603
Kepler-316 c,0.04358447822005437
Kepler-85 b,0.08887658515137006
Kepler-92 b,0.43828942372364693
Kepler-308 c,0.27735604468443387
HD 39194 b,0.057172227682397776
Kepler-161 b,0.27454926998642704
Kepler-135 c,0.2904526220474193
Kepler-137 b,0.12067749620386536
Kepler-284 b,0.10450640752014126
Kepler-118 b,0.2758531753061858
Kepler-306 d,0.19008313014587014
Kepler-158 b,0.13335855026841392
Kepler-92 c,0.3273743381104835
Kepler-250 b,0.058457326484516355
Kepler-370 c,0.054837407941956434
Kepler-399 c,0.1518056082539988
Kepler-265 d,0.27534308041213224
Kepler-169 c,0.0919912541992513
Kepler-148 b,0.054715881261365035
HD 40307 d,0.20975440519276312
Kepler-190 b,0.15372302181846725
Kepler-402 b,0.4215949696715582
Kepler-143 b,0.23021708427351414
Kepler-282 e,0.9152029786312912
Kepler-217 c,0.572663702939654
Kepler-298 c,0.061037188335188834
